,n1,n2,n3,n4,n6,n7,n8,n9,n10,n11,n13,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n39,n40,n41,n42,n43,n44,n45,n343,n344,n345,n346,n347,n349,n350,n351,n352,n353,n354,n355,n356,n357,n358,n360,n361,n362,n364,n365,n366,n367,n368,n369,n370,n371,n372,n373,n374,n375,n376,n377,n378,n379,n381,n382,n383,n384,n385,n386,n387,n388,n389
00:50:00,204.71,94.83,125.49,372.54,162.47,219.65,174.57,245.09,46.04,292.87,113.69,49.82,246.18,39.09,69.0,80.23,31.8,95.75,110.8,26.79,1866.5,24.96,81.9,316.76,27.9,174.23,69.79,45.94,120.7,58.21,47.25,147.59,8.73,184.4,85.25,127.06,63.43,21.09,164.3,90.48,137.8,27.28,86.62,11.85,31.1,108.8,246.1,71.55,153.51,70.72,226.29,67.74,63.46,299.49,142.78,68.79,3.48,49.81,69.56,92.92,104.38,63.97,109.44,243.75,42.7,20.02,17.29,61.93,36.77,60.38,326.44,7.11,55.7,118.04,84.14,45.97,116.85,24.85,160.04,92.39,302.54,95.19
00:55:00,196.96,90.13,116.78,339.32,156.01,217.49,165.58,231.4,44.15,279.42,107.95,49.69,236.39,37.57,63.28,77.18,30.34,91.3,109.52,23.91,1968.12,24.34,78.15,338.74,28.1,162.14,69.53,41.0,119.36,54.36,45.8,147.04,8.01,181.91,80.59,120.11,64.95,20.04,158.05,86.15,130.27,26.99,85.57,11.69,29.4,106.26,232.37,64.22,154.61,67.97,211.3,64.01,63.52,285.77,140.85,64.94,3.44,49.32,63.2,92.24,102.27,60.8,99.43,233.06,42.59,19.01,16.63,58.01,33.41,63.46,310.53,7.06,53.58,113.19,82.91,43.6,116.8,24.55,151.12,83.94,295.9,93.79
01:00:00,186.37,82.14,115.05,328.67,143.7,200.2,160.13,232.7,43.54,289.46,103.91,49.51,217.73,37.13,64.01,72.52,31.43,88.77,107.28,23.63,2084.51,23.8,77.18,333.16,25.88,159.73,65.22,40.52,111.65,54.22,46.31,137.93,8.1,167.49,75.2,112.09,59.35,18.27,148.52,79.99,121.57,25.79,81.34,11.67,27.43,99.14,232.05,62.74,142.41,67.17,210.77,65.41,62.55,282.21,129.69,65.31,3.29,45.4,61.86,93.3,102.84,55.41,93.89,243.05,42.43,18.3,15.63,58.35,32.7,56.67,290.13,7.14,50.35,111.62,78.38,42.17,109.39,23.34,150.9,79.26,283.41,88.59
01:05:00,173.93,87.64,116.42,321.6,133.39,191.04,156.42,219.8,40.03,273.46,101.27,45.92,202.12,35.3,60.12,69.2,29.69,81.21,106.62,22.53,2234.99,23.93,71.38,339.25,25.27,161.64,61.8,38.63,113.54,51.07,46.01,130.68,7.61,167.13,70.41,104.95,57.24,19.49,141.71,83.58,113.82,25.1,81.32,11.91,25.69,99.26,227.06,60.82,139.05,63.86,198.54,55.76,59.34,261.03,129.41,61.69,3.17,43.32,60.87,86.8,103.76,59.12,91.6,236.23,39.35,17.83,14.91,54.33,32.18,54.74,310.04,6.64,48.04,102.62,74.89,41.19,102.57,23.33,147.66,77.33,270.64,84.57
01:10:00,169.24,83.95,108.57,327.28,132.37,188.86,151.96,216.52,40.55,259.59,95.75,45.97,200.56,33.81,60.58,67.93,28.19,82.15,106.34,21.65,2349.54,22.63,70.99,313.59,24.13,150.74,58.49,37.13,111.79,50.35,43.31,123.69,7.67,161.65,71.29,106.25,55.29,18.67,139.11,80.54,115.24,24.49,76.39,12.12,26.01,91.06,206.22,55.67,132.78,61.16,195.73,55.71,58.3,259.62,125.16,60.77,3.04,42.83,58.71,81.45,99.12,56.63,90.13,235.18,39.4,16.86,14.64,53.59,31.04,54.67,303.92,6.23,47.16,103.95,80.02,40.02,97.65,21.92,134.11,76.09,272.78,79.82
01:15:00,162.07,73.98,106.07,323.82,126.06,173.28,144.11,204.82,38.79,250.5,93.73,44.49,191.01,33.13,57.74,65.79,27.2,76.73,101.83,21.0,2425.52,23.62,67.52,326.22,23.47,147.27,57.24,36.02,116.84,48.27,42.76,121.05,7.31,153.21,70.21,104.65,53.87,16.45,134.72,72.14,113.49,24.12,70.11,12.54,25.61,89.96,208.7,56.53,129.15,59.92,187.64,53.32,55.96,246.9,118.63,57.48,2.94,39.29,53.92,84.62,96.54,49.9,87.56,224.66,38.13,16.5,14.18,47.71,28.5,50.98,298.61,6.47,45.67,99.45,71.11,37.95,95.84,20.11,135.72,73.92,261.4,77.96
01:20:00,155.4,74.08,101.73,323.51,117.43,171.37,133.84,196.89,38.23,248.13,91.2,44.47,177.92,32.71,55.44,63.19,26.94,69.88,100.77,21.04,2569.92,22.74,68.35,324.2,23.74,141.25,55.68,36.09,109.16,46.28,42.75,117.74,7.01,143.62,64.08,95.52,52.1,16.47,129.41,72.3,103.59,22.93,68.24,12.99,23.38,87.36,198.74,53.83,130.66,59.18,179.9,53.6,52.4,249.95,111.2,55.26,2.65,38.86,55.19,81.02,93.17,49.97,84.85,230.58,38.11,16.06,13.62,48.45,29.18,48.08,307.5,6.2,43.87,98.0,71.16,35.24,88.33,19.58,129.25,71.63,253.44,73.51
01:25:00,147.36,67.56,102.63,319.25,113.1,169.4,135.32,185.55,35.48,236.22,81.17,42.42,171.37,30.37,53.68,61.98,25.65,74.29,97.61,19.27,2651.91,22.75,63.87,317.95,20.31,142.49,52.35,33.04,107.99,45.17,40.96,110.7,6.79,141.79,67.05,99.94,48.76,15.02,126.92,66.35,108.39,21.99,67.7,13.61,24.46,83.17,191.67,50.34,111.77,54.93,175.59,49.04,50.65,233.58,109.79,52.08,2.9,38.41,52.11,78.13,93.65,45.57,82.54,213.18,36.36,14.29,13.36,43.91,27.55,46.22,289.16,5.98,43.03,90.95,68.85,35.63,86.41,19.42,124.64,69.68,254.9,73.21
01:30:00,142.9,68.46,94.51,322.5,111.0,156.06,132.89,176.77,35.16,232.12,83.75,40.52,168.19,28.75,50.92,62.5,25.2,71.57,98.53,18.28,2772.72,21.74,60.78,310.88,19.6,131.22,50.32,31.35,105.63,42.51,40.8,106.42,6.44,135.46,63.4,94.49,47.12,15.22,128.0,67.44,102.48,22.42,66.9,14.18,23.13,81.14,184.59,47.45,107.83,52.0,165.25,48.53,50.94,222.28,104.89,49.61,2.71,35.39,48.88,70.06,90.04,46.18,77.75,225.52,34.73,14.75,13.47,45.94,25.84,43.31,288.46,5.36,43.39,90.14,67.49,34.99,84.59,19.2,120.04,65.64,240.03,70.18
01:35:00,134.25,63.58,89.08,319.89,107.62,150.52,129.67,178.05,32.91,212.74,78.36,40.34,163.07,28.75,46.95,58.49,23.1,66.16,96.14,17.57,2873.66,21.09,60.4,305.37,18.96,123.68,49.34,30.13,104.23,42.26,41.54,104.33,5.94,132.92,58.7,87.49,46.02,14.14,119.78,62.65,94.89,20.76,62.23,14.83,21.41,75.25,174.84,46.88,104.32,52.01,164.28,47.8,48.34,220.86,102.92,49.97,2.68,34.13,49.67,70.02,86.85,42.89,72.43,208.3,34.58,13.8,12.61,43.95,26.26,42.18,272.47,5.36,40.61,84.37,62.38,34.15,80.89,17.86,113.71,61.15,233.73,63.73
01:40:00,129.75,63.02,85.86,317.23,103.17,144.75,120.16,161.6,33.0,207.63,73.98,39.23,156.32,27.09,46.7,53.8,22.54,64.95,92.75,16.37,3060.67,20.17,56.26,300.42,18.46,119.2,46.12,28.07,100.85,40.22,41.13,97.53,5.91,125.33,60.13,89.62,41.67,14.01,110.17,62.48,97.19,20.03,58.28,15.28,21.93,75.09,170.76,43.94,101.61,49.0,156.35,43.19,45.32,205.75,97.04,45.35,2.4,32.82,45.49,68.06,89.17,42.51,68.64,211.05,33.63,13.03,11.6,43.12,24.05,39.81,279.97,5.21,37.35,84.61,62.28,31.64,72.35,16.72,111.05,57.94,230.25,63.4
01:45:00,120.69,60.12,84.28,321.78,99.69,137.05,108.39,154.74,31.7,209.44,70.99,37.03,151.06,26.69,44.18,54.75,22.74,61.03,85.32,16.3,3197.76,20.76,57.73,299.11,17.93,117.02,43.82,27.95,103.93,38.25,40.77,92.67,5.59,120.65,57.21,85.27,39.36,13.37,112.13,60.0,92.48,20.03,55.72,15.95,20.87,70.16,163.62,42.76,98.64,48.28,148.68,42.85,47.54,211.12,93.42,43.43,2.43,31.08,45.5,65.93,86.67,40.55,69.9,207.94,31.74,12.5,11.8,41.91,24.05,38.94,278.13,5.04,38.01,81.26,58.8,28.54,72.56,15.99,106.4,59.01,220.71,61.43
01:50:00,113.3,59.14,81.87,319.01,95.28,131.07,110.33,151.4,30.94,196.74,65.74,34.16,144.37,25.69,42.93,53.29,21.36,58.89,92.88,15.19,3261.03,20.19,51.57,287.92,16.41,113.67,43.1,26.05,98.33,37.32,39.65,91.14,5.43,117.1,52.59,78.39,35.95,13.15,109.13,58.71,85.01,19.14,52.19,16.26,19.19,66.38,153.55,42.27,90.28,46.48,145.06,40.07,42.82,188.58,90.67,42.49,2.34,29.72,41.17,64.02,83.02,39.89,66.22,199.65,29.28,11.58,11.48,37.99,21.76,36.94,268.43,4.9,37.0,79.33,52.32,29.05,72.28,14.97,99.86,55.91,216.9,56.54
01:55:00,107.29,56.42,80.05,316.92,95.08,125.12,105.56,144.2,29.3,192.99,62.42,33.42,144.07,23.63,39.82,51.86,20.95,54.3,85.52,14.62,3368.2,20.63,50.26,285.88,15.96,111.14,42.15,25.06,100.5,33.74,39.18,89.14,5.04,114.71,52.53,78.29,34.16,12.55,106.2,56.44,84.91,18.83,50.77,16.61,19.16,64.83,149.28,39.26,87.81,42.74,131.17,40.15,42.51,183.79,88.82,40.47,2.18,28.37,40.5,61.74,82.4,38.06,60.5,207.23,28.65,10.99,11.18,38.01,21.41,35.04,271.05,4.72,36.0,75.1,56.3,27.8,66.04,14.57,97.08,51.07,210.92,57.64
02:00:00,98.65,54.86,78.32,315.97,87.33,119.11,105.94,142.7,26.8,189.02,66.9,33.66,132.33,23.44,40.12,50.17,20.52,54.85,90.09,13.66,3586.77,19.49,48.82,256.34,15.72,108.74,39.42,23.43,93.85,35.38,37.61,83.36,5.08,109.81,51.76,77.15,33.75,12.2,102.74,54.64,83.67,18.67,48.05,16.69,18.88,63.55,147.74,37.96,86.48,42.41,137.54,38.26,42.21,178.52,85.02,40.05,2.16,27.01,40.03,58.58,79.27,37.0,59.25,190.79,28.85,11.78,10.81,35.12,21.16,32.67,257.22,4.48,34.83,68.71,52.24,27.9,62.34,13.79,96.08,50.02,205.16,51.54
02:05:00,91.07,51.03,73.27,311.95,83.63,111.03,98.17,129.0,27.01,176.49,62.05,31.7,126.72,23.92,39.7,46.93,19.16,50.4,88.9,13.02,3645.35,18.96,47.97,265.91,15.58,101.72,35.78,22.32,96.73,32.48,37.86,75.66,5.02,107.07,49.61,73.95,33.03,11.35,96.1,51.34,80.2,17.15,44.94,16.49,18.1,60.65,141.32,38.38,85.71,43.26,126.27,35.43,40.27,175.41,82.9,36.2,2.01,25.18,38.03,58.86,79.2,34.42,57.81,190.38,27.17,10.93,10.11,33.91,20.1,30.81,246.84,4.5,32.58,69.24,51.65,25.85,60.17,12.9,91.9,48.8,197.21,52.62
02:10:00,85.99,48.43,75.6,315.22,82.49,108.2,92.88,125.41,26.81,172.22,60.24,30.43,124.98,22.8,37.08,49.04,18.7,50.85,83.78,13.01,3769.23,19.29,47.68,278.4,14.94,104.97,35.94,22.32,97.47,32.47,35.95,75.99,4.69,100.08,46.83,69.8,30.65,10.77,100.42,49.05,75.69,16.4,43.32,16.3,17.08,58.46,141.02,36.84,82.23,41.24,126.21,36.04,39.23,174.35,77.49,35.2,2.04,24.54,35.97,54.2,78.45,32.67,54.43,199.3,26.09,10.61,10.57,34.18,19.02,30.34,249.74,4.15,34.05,68.74,49.22,24.46,56.57,12.43,91.71,45.95,201.18,49.64
02:15:00,77.95,47.88,66.45,314.35,73.96,99.79,93.87,121.84,24.57,174.65,56.48,29.63,112.06,21.44,37.64,44.59,18.96,46.84,84.35,11.77,3964.92,18.73,44.47,279.17,13.39,92.26,34.08,20.19,93.39,31.29,37.84,72.08,4.76,99.92,45.23,67.41,28.04,10.65,91.32,49.05,73.11,16.09,42.38,15.96,16.5,53.18,131.47,32.57,73.67,38.78,121.64,31.16,36.76,162.64,77.37,34.2,1.86,22.63,35.48,52.36,74.82,32.3,51.69,187.05,25.4,9.94,9.61,33.01,18.76,29.07,246.47,4.01,30.96,62.99,46.05,24.72,52.36,12.16,85.5,43.64,188.97,48.75
02:20:00,75.83,45.9,66.58,313.26,74.17,105.69,88.94,114.97,24.78,166.47,53.37,28.67,112.39,20.18,34.77,45.36,18.08,45.72,83.53,11.33,3999.44,19.21,42.81,257.77,13.27,92.44,32.95,19.43,92.06,28.82,34.68,69.68,4.4,98.57,44.5,66.32,28.18,10.21,92.9,46.47,71.93,15.92,41.08,15.42,16.23,54.02,122.22,31.5,73.02,36.5,112.02,31.24,37.4,156.56,76.32,32.27,1.98,23.97,34.37,52.37,76.41,30.96,50.13,183.14,24.58,9.4,9.78,30.64,18.17,27.72,256.48,4.01,31.49,63.52,45.69,23.42,51.56,11.79,79.48,42.32,195.07,45.04
02:25:00,69.68,43.9,63.37,309.24,70.14,95.12,88.34,106.36,23.66,150.74,50.86,29.5,106.28,20.49,33.86,42.93,16.37,42.06,81.55,10.93,4186.6,18.89,40.27,268.55,12.77,87.99,31.48,18.74,90.1,29.26,34.15,66.57,4.28,89.63,46.67,69.57,27.05,9.76,87.92,45.36,75.45,14.66,39.81,14.86,17.03,47.78,127.52,33.07,70.29,37.06,113.73,31.25,35.73,147.27,69.4,29.85,1.81,21.57,32.42,49.71,73.83,29.61,47.96,182.21,25.28,8.96,9.25,29.49,17.14,25.29,236.07,3.8,29.81,60.65,45.96,23.26,48.67,11.42,82.93,40.49,182.19,43.59
02:30:00,64.58,42.51,62.21,312.41,69.3,90.86,84.5,103.72,23.5,158.92,49.98,27.71,105.0,19.79,32.97,41.15,17.26,41.23,78.29,10.87,4241.0,17.76,38.71,252.45,11.99,86.37,29.32,18.64,89.98,27.86,35.67,62.01,4.17,86.61,42.95,64.02,25.3,9.45,84.26,44.17,69.43,14.95,37.47,14.21,15.67,49.52,115.38,31.85,65.98,35.8,108.31,28.2,34.46,141.56,67.06,29.11,1.64,20.61,32.55,48.58,71.81,28.68,49.22,188.06,23.75,8.8,8.87,27.35,17.21,24.93,244.91,3.72,28.57,60.24,42.08,22.25,46.86,10.75,75.03,41.56,179.69,42.97
02:35:00,62.49,41.83,57.66,309.17,67.83,89.84,81.08,97.63,22.65,143.4,48.63,26.63,102.78,18.36,30.34,40.36,15.57,37.75,78.23,10.08,4404.85,17.61,39.06,250.65,11.39,80.06,28.93,17.29,89.53,27.64,33.68,61.19,3.84,87.54,40.12,59.8,22.96,9.3,82.66,43.4,64.85,15.06,35.71,13.62,14.64,48.7,112.56,28.58,62.66,33.21,107.45,27.35,33.75,142.85,67.78,27.4,1.75,20.37,30.32,48.33,70.8,28.22,45.52,177.06,22.82,8.56,8.7,27.04,16.03,24.54,239.73,3.7,28.02,58.08,41.59,21.35,42.86,10.25,73.2,38.43,175.03,40.58
02:40:00,59.74,38.31,59.23,310.81,65.21,79.88,77.14,94.8,21.53,143.78,47.66,24.9,98.8,17.49,30.09,39.46,15.61,38.8,79.69,10.0,4457.66,17.38,36.62,256.7,11.88,82.24,28.05,17.15,87.23,26.11,34.07,59.32,3.81,86.25,38.05,56.71,22.64,8.52,80.81,40.34,61.51,13.58,33.61,12.8,13.88,45.23,113.12,27.79,65.36,31.65,101.48,27.43,30.86,133.89,66.78,26.61,1.68,18.11,30.0,45.69,71.13,25.84,42.31,181.08,21.34,8.39,8.5,25.94,15.86,22.55,242.15,3.5,27.4,55.18,39.28,20.31,40.92,9.64,73.56,35.72,168.63,38.62
02:45:00,59.43,38.03,55.4,311.88,63.72,76.23,74.53,91.77,20.58,136.2,45.16,24.75,96.55,17.32,28.68,38.79,14.79,34.82,74.16,9.73,4520.09,17.26,35.49,252.46,10.57,76.91,26.46,16.68,86.76,25.5,33.17,55.96,3.63,81.6,38.17,56.89,20.84,8.46,79.44,39.5,61.7,13.42,31.65,12.3,13.92,43.76,107.48,25.88,58.17,31.33,99.13,25.51,30.76,129.8,63.18,25.76,1.66,17.29,28.05,44.55,70.87,25.65,40.99,179.52,21.21,7.95,8.36,26.23,14.83,22.53,238.5,3.41,26.93,52.75,38.4,19.63,39.87,9.08,69.9,34.61,165.8,36.67
02:50:00,59.89,35.46,53.42,310.7,60.1,74.6,72.63,89.33,20.76,136.15,43.9,23.84,91.07,16.62,28.78,36.61,14.78,35.01,74.95,8.96,4705.2,17.19,35.4,250.0,10.42,74.17,26.51,15.37,83.79,25.39,32.11,56.06,3.64,78.42,36.51,54.42,20.33,7.89,74.97,37.34,59.02,12.99,33.47,11.85,13.32,40.5,100.98,24.97,57.33,30.07,98.7,25.25,30.3,129.44,60.72,25.07,1.57,16.92,28.9,41.6,69.36,23.92,39.32,166.33,20.43,7.73,7.89,24.39,15.28,20.39,242.24,3.18,25.42,53.21,38.28,19.13,36.98,9.6,65.67,33.19,163.28,36.38
02:55:00,62.37,33.55,53.26,312.73,58.29,72.33,70.84,82.54,19.86,127.05,44.37,23.55,88.32,16.08,27.69,36.56,13.8,32.52,72.26,8.71,4808.25,16.91,33.25,245.63,10.16,73.95,25.51,14.94,84.45,22.87,32.66,53.95,3.5,75.97,37.72,56.23,18.35,7.46,74.88,36.16,60.98,12.49,28.46,11.49,13.76,39.66,94.33,25.17,55.91,29.09,88.92,23.72,28.23,121.59,58.82,23.16,1.55,16.4,28.06,38.98,70.2,22.63,37.07,163.99,20.18,7.81,7.88,22.36,14.83,20.6,238.61,2.98,25.39,50.92,36.62,18.65,35.98,8.17,61.35,31.29,155.32,34.92
03:00:00,66.0,34.18,50.36,310.23,57.47,70.02,69.8,82.23,19.39,128.64,42.0,22.61,87.08,15.63,25.83,34.28,13.97,30.74,74.0,8.38,4840.3,16.66,34.1,249.84,9.93,69.93,23.64,14.38,81.63,23.64,31.86,49.99,3.27,79.78,34.94,52.07,18.52,7.6,70.19,36.54,56.48,12.41,28.51,11.47,12.75,38.1,93.84,23.72,54.63,28.28,91.88,22.47,29.14,124.69,61.77,23.08,1.46,15.88,25.79,39.9,65.34,23.06,37.2,164.09,19.38,7.4,7.39,22.55,13.64,19.46,229.24,3.05,23.8,49.72,35.38,18.38,34.58,8.18,61.03,31.4,157.05,32.94
03:05:00,69.05,33.12,49.6,312.09,55.43,67.88,68.57,78.76,18.49,124.56,39.84,22.49,83.99,14.81,27.12,35.35,13.52,30.0,72.55,8.04,4943.65,15.68,31.93,243.74,9.47,68.86,22.9,13.79,81.23,22.47,31.14,48.42,3.43,76.65,35.76,53.31,17.34,7.36,72.4,35.66,57.81,11.99,27.6,11.96,13.05,35.39,88.68,22.87,52.09,26.79,87.35,22.51,27.2,116.74,59.35,22.11,1.42,15.4,25.94,40.39,65.25,22.34,35.58,160.01,19.28,7.01,7.62,21.95,13.71,19.42,232.29,3.09,24.55,47.39,34.54,18.06,33.3,7.92,57.67,30.03,150.92,33.43
03:10:00,75.72,30.84,46.82,314.02,54.5,65.86,64.51,73.77,17.9,122.81,38.62,22.55,82.58,15.04,24.0,32.46,13.34,28.57,72.59,8.17,4965.0,15.93,31.8,244.01,8.6,65.0,21.98,14.01,77.51,22.38,31.07,46.47,3.04,73.77,36.12,53.84,17.43,6.86,66.46,33.48,58.39,11.64,26.78,12.99,13.18,36.34,86.39,24.85,47.3,27.21,87.01,21.29,27.79,116.28,57.12,20.7,1.44,14.94,24.51,38.14,67.27,20.8,34.55,162.12,19.33,6.8,6.99,20.85,12.96,18.59,221.72,2.92,22.53,45.88,33.98,16.99,32.04,7.68,56.19,29.17,151.62,31.64
03:15:00,83.26,30.17,46.74,315.63,54.22,64.76,65.66,71.37,17.91,117.33,39.6,21.16,82.15,14.38,23.59,32.82,12.74,28.0,69.03,7.69,5011.3,16.54,30.42,237.73,9.2,64.89,21.57,13.19,79.29,21.04,30.95,45.6,2.99,70.57,34.23,51.02,16.77,6.71,67.2,32.41,55.33,11.31,27.04,14.62,12.49,33.73,89.47,22.97,50.63,26.01,81.8,21.89,26.51,111.23,54.64,20.03,1.39,14.69,23.02,38.43,63.67,20.35,32.9,163.32,18.14,6.97,7.07,20.32,12.17,18.42,219.6,2.94,22.78,45.92,31.9,17.29,32.08,7.76,58.19,27.77,146.29,32.36
